Date,Open,Close
12/12/1980,0.128347993,0.128347993
15/12/1980,0.122210003,0.121652
16/12/1980,0.113280997,0.112723
17/12/1980,0.115512997,0.115512997
18/12/1980,0.118862003,0.118862003
19/12/1980,0.126115993,0.126115993
22/12/1980,0.132254004,0.132254004
23/12/1980,0.137834996,0.137834996
24/12/1980,0.145089,0.145089
26/12/1980,0.158482,0.158482
29/12/1980,0.160714,0.160714
30/12/1980,0.157365993,0.156808004
31/12/1980,0.152902007,0.152344003
02/01/1981,0.154018,0.154018
05/01/1981,0.151227996,0.150670007
06/01/1981,0.144530997,0.143972993
07/01/1981,0.138393,0.137834996
08/01/1981,0.135602996,0.135045007
09/01/1981,0.142298996,0.142298996
12/01/1981,0.142298996,0.141183004
13/01/1981,0.136719003,0.136161
14/01/1981,0.136719003,0.136719003
15/01/1981,0.139509007,0.139509007
16/01/1981,0.138951004,0.138393
19/01/1981,0.146762997,0.146762997
20/01/1981,0.142857,0.142298996
21/01/1981,0.145089,0.145089
22/01/1981,0.146762997,0.146762997
23/01/1981,0.146762997,0.146204993
26/01/1981,0.144530997,0.143972993
27/01/1981,0.143972993,0.142857
28/01/1981,0.138951004,0.138393
29/01/1981,0.133928999,0.133370996
30/01/1981,0.127232,0.126115993
02/02/1981,0.119419999,0.118862003
03/02/1981,0.123326004,0.123326004
04/02/1981,0.127790004,0.127790004
05/02/1981,0.127790004,0.127790004
06/02/1981,0.128347993,0.128347993
09/02/1981,0.122768,0.121652
10/02/1981,0.121652,0.121652
11/02/1981,0.118303999,0.117746003
12/02/1981,0.117187999,0.116628997
13/02/1981,0.114955001,0.113839
17/02/1981,0.116628997,0.116628997
18/02/1981,0.121652,0.121652
19/02/1981,0.114955001,0.114396997
20/02/1981,0.108817004,0.108259
23/02/1981,0.109932996,0.109932996
24/02/1981,0.107143,0.106027
25/02/1981,0.112723,0.112723
26/02/1981,0.114396997,0.114396997
27/02/1981,0.118303999,0.118303999
02/03/1981,0.118862003,0.118862003
03/03/1981,0.117746003,0.117187999
04/03/1981,0.116628997,0.116071001
05/03/1981,0.116071001,0.115512997
06/03/1981,0.115512997,0.114396997
09/03/1981,0.106027,0.105469003
10/03/1981,0.101003997,0.100446001
11/03/1981,0.097655997,0.096539997
12/03/1981,0.100446001,0.100446001
13/03/1981,0.099887997,0.099330001
16/03/1981,0.103237003,0.103237003
17/03/1981,0.108259,0.108259
18/03/1981,0.114955001,0.114955001
19/03/1981,0.114396997,0.113839
20/03/1981,0.114955001,0.114955001
23/03/1981,0.119419999,0.119419999
24/03/1981,0.119419999,0.118862003
25/03/1981,0.117746003,0.116628997
26/03/1981,0.114955001,0.114396997
27/03/1981,0.111048996,0.110491
30/03/1981,0.110491,0.110491
31/03/1981,0.110491,0.109375
01/04/1981,0.108817004,0.108259
02/04/1981,0.117746003,0.117746003
03/04/1981,0.118303999,0.118303999
06/04/1981,0.116628997,0.116071001
07/04/1981,0.115512997,0.114955001
08/04/1981,0.120536,0.120536
09/04/1981,0.122768,0.122768
10/04/1981,0.124442004,0.124442004
13/04/1981,0.124442004,0.124442004
14/04/1981,0.124442004,0.124442004
15/04/1981,0.118862003,0.118303999
16/04/1981,0.112164997,0.111607
20/04/1981,0.114955001,0.114955001
21/04/1981,0.122768,0.122768
22/04/1981,0.127232,0.127232
23/04/1981,0.130579993,0.130579993
24/04/1981,0.130579993,0.129464
27/04/1981,0.128905997,0.128347993
