Date,Low,Open,Volume,High,Close,Adjusted Close
30/01/2020,79.6875,80.13500214,126743200,81.02249908,80.96749878,79.68088531
31/01/2020,77.07250214,80.23249817,199588400,80.66999817,77.37750244,76.14794922
03/02/2020,75.55500031,76.07499695,173788400,78.37249756,77.16500092,75.93881226
04/02/2020,78.40750122,78.82749939,136616400,79.91000366,79.71250153,78.4458313
05/02/2020,79.73750305,80.87999725,118826800,81.19000244,80.36250305,79.085495
06/02/2020,80.06500244,80.64250183,105425600,81.30500031,81.30249786,80.01056671
07/02/2020,79.5,80.59249878,117684000,80.84999847,80.00749969,78.92300415
10/02/2020,78.46250153,78.54499817,109348800,80.38749695,80.38749695,79.29785919
11/02/2020,79.67749786,80.90000153,94323200,80.97499847,79.90249634,78.81941986
12/02/2020,80.36750031,80.36750031,113730400,81.80500031,81.80000305,80.69120789
13/02/2020,80.83750153,81.04750061,94747600,81.55500031,81.21749878,80.11660004
14/02/2020,80.71250153,81.18499756,80113600,81.49500275,81.23750305,80.13634491
18/02/2020,78.65249634,78.83999634,152531200,79.9375,79.75,78.66899109
19/02/2020,80,80,93984000,81.14250183,80.90499878,79.80833435
20/02/2020,79.55249786,80.65750122,100566000,81.16249847,80.07499695,78.98959351
21/02/2020,77.625,79.65499878,129554000,80.11250305,78.26249695,77.20165253
24/02/2020,72.30750275,74.31500244,222195200,76.04499817,74.54499817,73.5345459
25/02/2020,71.53250122,75.23750305,230673600,75.63249969,72.01999664,71.04376984
26/02/2020,71.625,71.63249969,198054800,74.47000122,73.16249847,72.17079163
27/02/2020,68.23999786,70.27500153,320605600,71.5,68.37999725,67.45310974
28/02/2020,64.09249878,64.31500244,426510000,69.60250092,68.33999634,67.41365814
02/03/2020,69.43000031,70.56999969,341397200,75.36000061,74.70249939,73.68991852
03/03/2020,71.44999695,75.91750336,319475600,76,72.33000183,71.34958649
04/03/2020,73.28250122,74.11000061,219178400,75.84999847,75.68499756,74.65910339
05/03/2020,72.85250092,73.87999725,187572800,74.88749695,73.23000336,72.23738098
06/03/2020,70.30750275,70.5,226176800,72.70500183,72.25749969,71.27805328
09/03/2020,65.75,65.9375,286744800,69.52249908,66.54250336,65.64054108
10/03/2020,67.34249878,69.28500366,285290000,71.61000061,71.33499908,70.36807251
11/03/2020,67.96499634,69.34750366,255598800,70.30500031,68.85749817,67.92414093
12/03/2020,62,63.98500061,418474000,67.5,62.05749893,61.21631622
13/03/2020,63.23749924,66.22250366,370732000,69.98000336,69.49250031,68.55053711
16/03/2020,60,60.48749924,322423600,64.76999664,60.55250168,59.73171997
17/03/2020,59.59999847,61.87749863,324056000,64.40249634,63.21500015,62.35813141
